id,name,picture_url,xl_picture_url,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood_group_cleansed,city,state,zipcode,market,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms,reviews_per_month
2318,Casa Madrona - Urban Oasis 1 block from the park!,https://a0.muscache.com/im/pictures/02973ad3-a7a3-452e-bc3e-01d0f9c35680.jpg?aki_policy=large,,2536,Megan,2008-08-26,"Seattle, Washington, United States",within an hour,100%,Minor,2,2,"Seattle, WA, United States",Central Area,Seattle,WA,98122,Seattle,United States,47.61082,-122.29082,House,Entire home/apt,9,2.5,4,4,,296,,,500,250,8,25,30,1000,t,28,8,2008-09-15,2019-08-30,100,10,10,10,10,10,10,f,2,0,0.21
5682,"Cozy Studio, min. to downtown -WiFi",https://a0.muscache.com/im/pictures/5ec89f9d-8def-4d0f-a2f1-860e0947a726.jpg?aki_policy=large,,8993,Maddy,2009-03-03,"Seattle, Washington, United States",N/A,N/A,South Delridge,1,1,"Seattle, WA, United States",Delridge,Seattle,WA,98106,Seattle,United States,47.52398,-122.35989,Guest suite,Entire home/apt,2,1,0,1,,48,400,1250,120,45,1,5,3,14,t,462,8,2010-03-21,2018-11-24,95,10,10,10,10,9,10,f,1,0,3.99
6606,"Fab, private seattle urban cottage!",https://a0.muscache.com/im/pictures/45742/21116d7d_original.jpg?aki_policy=large,,14942,Joyce,2009-04-26,"Seattle, Washington, United States",within a few hours,100%,Wallingford,5,5,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65411,-122.33761,Guesthouse,Entire home/apt,2,1,1,1,,90,670,,200,40,2,10,2,1125,t,147,17,2009-07-17,2019-09-07,92,9,9,10,10,10,9,f,3,0,1.19
9419,Glorious sun room w/ memory foambed,https://a0.muscache.com/im/pictures/56645186/e5fb34c9_original.jpg?aki_policy=large,,30559,Angielena,2009-08-09,"Seattle, Washington, United States",within a few hours,100%,Georgetown,8,8,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98108,Seattle,United States,47.55062,-122.32014,Apartment,Private room,2,3,1,1,200,62,580,1500,100,10,1,15,2,60,t,144,15,2010-07-30,2019-09-02,93,10,10,10,10,10,10,f,8,8,1.29
9460,Downtown Convention Center B&B -- Free Minibar,"https://a0.muscache.com/4ea/air/v2//pictures/b9590094-1851-430a-b014-165acec0af1f.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",,30832,Siena,2009-08-10,"Seattle, Washington, United States",within an hour,100%,First Hill,4,4,"Seattle, WA, United States",Downtown,Seattle,WA,98101,Seattle,United States,47.61265,-122.32936,Condominium,Private room,2,1,1,1,,99,,,0,45,1,15,3,29,t,443,52,2009-08-31,2019-09-02,98,10,10,10,10,10,10,t,4,1,3.62
9531,The Adorable Sweet Orange Craftsman,https://a0.muscache.com/im/pictures/30470355/052cfaff_original.jpg?aki_policy=large,,31481,Cassie,2009-08-13,"Seattle, Washington, United States",within a few hours,100%,The Junction,2,2,"Seattle, WA, United States",West Seattle,Seattle,WA,98136,Seattle,United States,47.55539,-122.38474,House,Entire home/apt,4,1,2,3,1200,165,1075,3000,300,120,2,10,3,365,t,37,3,2012-01-12,2019-08-19,100,10,10,10,10,10,10,f,2,0,0.39
9534,The Coolest Tangerine Dream MIL! ,https://a0.muscache.com/im/pictures/30476721/07510533_original.jpg?aki_policy=large,,31481,Cassie,2009-08-13,"Seattle, Washington, United States",within a few hours,100%,The Junction,2,2,"Seattle, WA, United States",West Seattle,Seattle,WA,98136,Seattle,United States,47.55624,-122.38598,Guest suite,Entire home/apt,3,1,2,2,,125,825,2500,300,95,2,5,2,365,t,44,10,2012-01-15,2019-09-14,100,10,10,10,10,10,10,f,2,0,0.47
9596,"the down home , spacious, central and fab!",https://a0.muscache.com/im/pictures/665252/102d18d1_original.jpg?aki_policy=large,,14942,Joyce,2009-04-26,"Seattle, Washington, United States",within a few hours,100%,Wallingford,5,5,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65479,-122.33652,Apartment,Entire home/apt,4,1,1,4,,120,725,,200,85,2,15,2,60,t,91,17,2011-06-15,2019-09-09,91,9,9,10,9,10,9,f,3,0,0.9
9909,Luna Park House - West Seattle,https://a0.muscache.com/im/pictures/57260584/736a4e60_original.jpg?aki_policy=large,,33360,Laura,2009-08-23,"Seattle, Washington, United States",within an hour,100%,The Junction,8,8,"Seattle, WA, United States",West Seattle,Seattle,WA,98126,Seattle,United States,47.56521,-122.37375,House,Entire home/apt,8,2,3,5,,125,945,3200,300,150,4,0,3,120,t,71,16,2009-11-03,2019-09-08,96,10,10,10,10,10,10,t,7,0,0.59
11012,"the orange house, quiet 'n central",https://a0.muscache.com/im/pictures/682034/54bc2752_original.jpg?aki_policy=large,,14942,Joyce,2009-04-26,"Seattle, Washington, United States",within a few hours,100%,Wallingford,5,5,"Seattle, WA, United States",Other neighborhoods,Seattle,WA,98103,Seattle,United States,47.65448,-122.33646,House,Entire home/apt,8,2,3,3,,299,2100,,350,165,4,15,2,90,t,91,11,2010-01-31,2019-09-01,96,10,9,10,10,10,10,f,3,0,0.78
