id,name,picture_url,host_id,host_name,host_since,host_response_time,host_response_rate,host_listings_count,neighbourhood_group_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,monthly_price 
2318,Casa Madrona - Urban Oasis 1 block from the park!,https://a0.muscache.com/im/pictures/02973ad3-a7a3-452e-bc3e-01d0f9c35680.jpg?aki_policy=large,2536,Megan,2008-08-26,within an hour,100%,2.0,Central Area,Seattle,WA,98122,47.610820000000004,-122.29082,House,Entire home/apt,9,2.5,4.0,4.0,unknown,296,unknown,unknown,500.0,250.0,8,30,1000,100.0,10.0,10.0,10.0,10.0,2,0.21,unknown
5682,"Cozy Studio, min. to downtown -WiFi",https://a0.muscache.com/im/pictures/5ec89f9d-8def-4d0f-a2f1-860e0947a726.jpg?aki_policy=large,8993,Maddy,2009-03-03,unknown,unknown,1.0,Delridge,Seattle,WA,98106,47.52398,-122.35989,Guest suite,Entire home/apt,2,1.0,0.0,1.0,unknown,48,400.0,1250.0,120.0,45.0,1,3,14,95.0,10.0,10.0,9.0,10.0,1,3.99,1250.0
6606,"Fab, private seattle urban cottage!",https://a0.muscache.com/im/pictures/45742/21116d7d_original.jpg?aki_policy=large,14942,Joyce,2009-04-26,within a few hours,100%,5.0,Other neighborhoods,Seattle,WA,98103,47.654109999999996,-122.33761000000001,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,unknown,90,670.0,unknown,200.0,40.0,2,2,1125,92.0,9.0,9.0,10.0,9.0,3,1.19,unknown
9419,Glorious sun room w/ memory foambed,https://a0.muscache.com/im/pictures/56645186/e5fb34c9_original.jpg?aki_policy=large,30559,Angielena,2009-08-09,within a few hours,100%,8.0,Other neighborhoods,Seattle,WA,98108,47.55062,-122.32014,Apartment,Private room,2,3.0,1.0,1.0,200.0,62,580.0,1500.0,100.0,10.0,1,2,60,93.0,10.0,10.0,10.0,10.0,8,1.29,1500.0
9460,Downtown Convention Center B&B -- Free Minibar,"https://a0.muscache.com/4ea/air/v2//pictures/b9590094-1851-430a-b014-165acec0af1f.jpg?t=r:w1200-h720-sfit,e:fjpg-c85",30832,Siena,2009-08-10,within an hour,100%,4.0,Downtown,Seattle,WA,98101,47.61265,-122.32936000000001,Condominium,Private room,2,1.0,1.0,1.0,unknown,99,unknown,unknown,0.0,45.0,1,3,29,98.0,10.0,10.0,10.0,10.0,4,3.62,unknown
9531,The Adorable Sweet Orange Craftsman,https://a0.muscache.com/im/pictures/30470355/052cfaff_original.jpg?aki_policy=large,31481,Cassie,2009-08-13,within a few hours,100%,2.0,West Seattle,Seattle,WA,98136,47.55539,-122.38474,House,Entire home/apt,4,1.0,2.0,3.0,1200.0,165,1075.0,3000.0,300.0,120.0,2,3,365,100.0,10.0,10.0,10.0,10.0,2,0.39,3000.0
9534,The Coolest Tangerine Dream MIL! ,https://a0.muscache.com/im/pictures/30476721/07510533_original.jpg?aki_policy=large,31481,Cassie,2009-08-13,within a few hours,100%,2.0,West Seattle,Seattle,WA,98136,47.55624,-122.38598,Guest suite,Entire home/apt,3,1.0,2.0,2.0,unknown,125,825.0,2500.0,300.0,95.0,2,2,365,100.0,10.0,10.0,10.0,10.0,2,0.47,2500.0
9596,"the down home , spacious, central and fab!",https://a0.muscache.com/im/pictures/665252/102d18d1_original.jpg?aki_policy=large,14942,Joyce,2009-04-26,within a few hours,100%,5.0,Other neighborhoods,Seattle,WA,98103,47.654790000000006,-122.33652,Apartment,Entire home/apt,4,1.0,1.0,4.0,unknown,120,725.0,unknown,200.0,85.0,2,2,60,91.0,9.0,9.0,10.0,9.0,3,0.9,unknown
9909,Luna Park House - West Seattle,https://a0.muscache.com/im/pictures/57260584/736a4e60_original.jpg?aki_policy=large,33360,Laura,2009-08-23,within an hour,100%,8.0,West Seattle,Seattle,WA,98126,47.56521,-122.37375,House,Entire home/apt,8,2.0,3.0,5.0,unknown,125,945.0,3200.0,300.0,150.0,4,3,120,96.0,10.0,10.0,10.0,10.0,7,0.59,3200.0
11012,"the orange house, quiet 'n central",https://a0.muscache.com/im/pictures/682034/54bc2752_original.jpg?aki_policy=large,14942,Joyce,2009-04-26,within a few hours,100%,5.0,Other neighborhoods,Seattle,WA,98103,47.65448,-122.33646,House,Entire home/apt,8,2.0,3.0,3.0,unknown,299,2100.0,unknown,350.0,165.0,4,2,90,96.0,10.0,9.0,10.0,10.0,3,0.78,unknown
