id,host_id,host_name,host_since,host_response_rate,host_listings_count,neighbourhood_group_cleansed,latitude,longitude,bathrooms,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,monthly_price ,bedrooms,beds,accommodates,zipcode_98052,zipcode_98101,zipcode_98102,zipcode_98103,zipcode_98104,zipcode_98104-4417,zipcode_98105,zipcode_98106,zipcode_98107,zipcode_98108,zipcode_98109,zipcode_98112,zipcode_98115,zipcode_98116,zipcode_98117,zipcode_98118,zipcode_98119,zipcode_98121,zipcode_98122,zipcode_98125,zipcode_98126,zipcode_98133,zipcode_98134,zipcode_98136,zipcode_98144,zipcode_98146,zipcode_98155,zipcode_98168,zipcode_98177,zipcode_98178,zipcode_98199,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_unknown,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour
2318,2536,Megan,8/26/08,100%,2,Central Area,47.61082,-122.29082,2.5,,296,unknown,unknown,500,250,8,30,1000,100,10,10,10,10,2,0.21,unknown,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5682,8993,Maddy,3/3/09,unknown,1,Delridge,47.52398,-122.35989,1,,48,400,1250,120,45,1,3,14,95,10,10,9,10,1,3.99,1250,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6606,14942,Joyce,4/26/09,100%,5,Other neighborhoods,47.65411,-122.33761,1,,90,670,unknown,200,40,2,2,1125,92,9,9,10,9,3,1.19,unknown,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9419,30559,Angielena,8/9/09,100%,8,Other neighborhoods,47.55062,-122.32014,3,200,62,580,1500,100,10,1,2,60,93,10,10,10,10,8,1.29,1500,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9460,30832,Siena,8/10/09,100%,4,Downtown,47.61265,-122.32936,1,,99,unknown,unknown,0,45,1,3,29,98,10,10,10,10,4,3.62,unknown,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9531,31481,Cassie,8/13/09,100%,2,West Seattle,47.55539,-122.38474,1,1200,165,1075,3000,300,120,2,3,365,100,10,10,10,10,2,0.39,3000,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9534,31481,Cassie,8/13/09,100%,2,West Seattle,47.55624,-122.38598,1,,125,825,2500,300,95,2,2,365,100,10,10,10,10,2,0.47,2500,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9596,14942,Joyce,4/26/09,100%,5,Other neighborhoods,47.65479,-122.33652,1,,120,725,unknown,200,85,2,2,60,91,9,9,10,9,3,0.9,unknown,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9909,33360,Laura,8/23/09,100%,8,West Seattle,47.56521,-122.37375,2,,125,945,3200,300,150,4,3,120,96,10,10,10,10,7,0.59,3200,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11012,14942,Joyce,4/26/09,100%,5,Other neighborhoods,47.65448,-122.33646,2,,299,2100,unknown,350,165,4,2,90,96,10,9,10,10,3,0.78,unknown,3,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15108,39377,Bob,9/18/09,100%,3,Other neighborhoods,47.68827,-122.33586,1,140,60,375,1000,0,10,1,1,730,90,9,9,10,9,3,0.71,1000,3,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
