,price,id,host_listings_count,cleaning_fee,security_deposit,accommodates,bedrooms,minimum_nights,guests_included,reviews_per_month,calculated_host_listings_count,room_type_Shared_room,room_type_Private_room,room_type_Hotel_room,host_response_time_unknown,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour
0,296,2318,2,250,500,9,4,30,8,0.21,2,0,0,0,0,0,0,1
1,48,5682,1,45,120,2,0,3,1,3.99,1,0,0,0,1,0,0,0
2,90,6606,5,40,200,2,1,2,2,1.19,3,0,0,0,0,0,1,0
3,62,9419,8,10,100,2,1,2,1,1.29,8,0,1,0,0,0,1,0
4,99,9460,4,45,0,2,1,3,1,3.62,4,0,1,0,0,0,0,1
5,165,9531,2,120,300,4,2,3,2,0.39,2,0,0,0,0,0,1,0
6,125,9534,2,95,300,3,2,2,2,0.47,2,0,0,0,0,0,1,0
7,120,9596,5,85,200,4,1,2,2,0.9,3,0,0,0,0,0,1,0
8,125,9909,8,150,300,8,3,3,4,0.59,7,0,0,0,0,0,0,1
9,299,11012,5,165,350,8,3,2,4,0.78,3,0,0,0,0,0,1,0
10,60,15108,3,10,0,6,3,1,1,0.71,3,0,1,0,0,1,0,0
11,32,15749,2,20,500,1,1,24,1,0.21,2,0,1,0,0,0,0,1
12,105,17951,8,50,300,2,0,2,2,1.01,7,0,0,0,0,0,0,1
13,145,19619,57,107,500,4,1,2,1,0.93,53,0,0,0,0,0,0,1
14,89,20927,2,20,0,2,1,2,2,4.96,2,0,0,0,0,0,0,1
15,79,20928,2,20,0,2,1,2,1,6.04,2,0,0,0,0,0,0,1
16,200,23192,7,80,300,5,1,3,2,1.55,4,0,0,0,0,0,0,1
17,157,24212,57,130,500,6,2,1,6,0.81,53,0,0,0,0,0,0,1
18,70,25002,1,15,0,4,1,2,2,6.62,1,0,0,0,0,0,0,1
19,259,26116,5,100,500,4,2,2,2,1.3,1,0,0,0,0,0,0,1
20,165,26795,1,0,1500,5,2,3,2,0.56,1,0,0,0,0,0,1,0
21,64,30712,1,50,0,3,1,3,1,1.01,1,0,0,0,0,0,1,0
22,55,43373,1,15,0,2,1,2,1,2.4,1,0,1,0,0,0,0,1
23,50,47491,4,50,100,1,1,30,1,0.42,4,0,1,0,0,0,1,0
24,80,48848,2,125,0,2,1,5,2,0.39,2,0,0,0,0,1,0,0
25,45,52525,4,50,100,1,1,3,1,0.27,4,0,1,0,0,0,1,0
26,75,58503,1,35,0,4,2,2,2,4.05,1,0,0,0,0,0,0,1
27,76,63733,1,20,0,2,1,3,2,2.32,1,0,0,0,0,0,1,0
28,50,66540,4,35,100,1,1,3,1,0.25,4,0,1,0,0,0,1,0
29,45,66611,4,35,95,1,1,3,1,0.28,4,0,1,0,0,0,1,0
30,110,77149,1,50,0,6,1,5,2,0.15,1,0,0,0,1,0,0,0
31,250,84271,0,50,100,2,1,1,2,0.38,1,0,0,0,0,0,0,1
32,92,107884,1,30,300,4,1,2,2,1.54,1,0,0,0,0,0,0,1
33,130,108765,1,15,0,2,1,2,1,0.62,1,0,0,0,0,0,0,1
34,120,116221,1,120,400,2,1,30,1,0.52,1,0,0,0,0,0,0,1
35,150,117165,2,75,200,2,1,2,1,1.36,2,0,1,0,0,0,1,0
36,110,132120,1,40,0,4,1,2,2,1.12,1,0,0,0,0,1,0,0
37,150,132160,2,120,400,6,2,3,3,2.77,2,0,0,0,0,0,0,1
38,170,134091,17,150,0,4,1,7,2,1.78,13,0,0,0,0,0,0,1
39,85,136480,2,25,0,2,1,2,1,1.07,2,0,1,0,0,1,0,0
40,75,140331,1,40,0,2,1,1,3,1.47,1,0,1,0,0,1,0,0
41,68,143704,1,85,0,3,1,3,2,3.75,1,0,0,0,0,0,0,1
42,199,151545,7,150,750,6,3,7,4,0.35,3,0,0,0,0,0,1,0
